toa,bat,bin,res,err
54023.1671290307,54023.1641024696,0.684769382816739,-1.58E-05,14.0018566088405
54090.9280552153,54090.9250110987,0.678512338665314,4.84E-06,34.8140553078591
54147.7151946341,54147.7160135163,0.492744471994229,8.11E-05,33.0748847101542
54176.6749334125,54176.6779619793,0.167312203906476,4.43E-05,31.7969987308332
54205.5578367857,54205.562507673,0.805333727155812,-2.62E-05,30.656144611433
54226.5014808041,54226.5067659287,0.694298155023716,-1.72E-05,14.2543861190813
54260.4945427447,54260.4996107318,0.744235515128821,6.20E-06,27.4001001934128
54295.4696575489,54295.4730648424,0.257173781865276,-2.76E-05,33.4429544538072
54462.8952846249,54462.8925668866,0.305353957694024,-8.12E-06,24.0110317555908
54518.7167018665,54518.7179826186,0.663678210694343,1.20E-05,11.5785847568566
54560.5071829105,54560.5113644987,0.396688646636903,4.56E-06,23.6118979758429
54592.4915440402,54592.4968451283,0.498836275539361,-2.84E-06,4.89977129585893
54617.352350545,54617.3576168653,0.23700739396736,-2.12E-05,20.8872863874757
54648.3373810588,54648.3415217333,0.866254671942442,-5.42E-06,7.47969252316466
54680.2388452126,54680.2408913256,0.927744428161532,7.74E-06,8.07861632854945
54781.9395631672,54781.9357856543,0.943634044961072,-4.79E-06,3.70283825681078
54817.8518955039,54817.8487087849,0.900148570421152,-1.25E-05,12.8117150371265
54818.8471857228,54818.8440395273,0.370100295869634,5.52E-06,23.6214580608761
54849.0023723527,54849.0009644035,0.608883723383769,-5.35E-05,20.8004498221183
54875.6847797049,54875.6854172434,0.208117446047254,1.64E-05,7.24236201089132
54910.6152282983,54910.6185134904,0.702000491437502,1.93E-05,15.7265615342909
54998.5915835278,54998.5964274935,0.241330812568776,1.64E-07,2.72799578959184
54998.6652965781,54998.6701377771,0.276133590610698,-1.16E-06,12.4651925827885
55083.1723046632,55083.1714801603,0.173978562350385,1.05E-05,19.6189980104133
55100.1271410097,55100.1251563445,0.178764344658703,-6.37E-06,4.93320539389951
55114.2119533951,55114.2091767849,0.828623959445394,-2.37E-05,30.1717601515262
55142.9592900814,55142.955580894,0.401421057060361,-2.37E-06,5.70387075637511
55206.6826061082,55206.6806951443,0.48963808955159,-3.57E-06,14.8247713681074
55253.9341185937,55253.935800239,0.801435796078294,-1.99E-05,24.8324042753897
55291.7434983798,55291.7477479031,0.654586804565042,-2.11E-05,19.5799616220822
55734.4800051026,55734.4846502839,0.695624452666379,4.81E-06,5.38937597105025
55734.4816654176,55734.4863105232,0.696408345247619,-5.63E-06,4.57659565240531
55835.0631133245,55835.0608772658,0.183328183717094,8.73E-06,12.906511236441
55865.9518022738,55865.9482527064,0.766998479957692,2.15E-06,6.56624333741504
55865.9520163992,55865.948466813,0.767099571763538,9.42E-06,5.59797503384216
55903.8917168787,55903.8882361459,0.680602392181754,2.21E-06,13.2721552368575
58589.9636101456,58589.968378815,0.930385073879734,2.11E-06,5.48589761632598
58589.9636101843,58589.968378815,0.930385073763318,-1.98E-06,13.8290749147256
58589.963610198,58589.9683784834,0.930384917301126,-3.75E-06,2.83871019110061
58589.9636102234,58589.9683788143,0.930385073530488,-5.98E-05,47.5539776767494
58589.963610338,58589.9683784835,0.930384917301126,1.39E-06,15.9366619719965
58589.963610338,58589.9683784835,0.930384917301126,1.39E-06,15.9366619719965
58589.9636103432,58589.9683788146,0.930385073646903,-3.16E-05,30.2217571087419
58589.9636104258,58589.9683788151,0.930385073879734,7.97E-06,9.77605578756325
58665.6222285673,58665.6264362561,0.652816949062981,8.02E-07,17.2347155833751
58665.6222286043,58665.6264362561,0.652816949062981,4.65E-06,5.61365256607378
58665.6222286207,58665.6264359251,0.652816792717203,3.25E-05,41.7787150002988
58665.6222286452,58665.626436256,0.652816948946565,-2.81E-06,3.17036953772468
58665.6222286972,58665.6264362562,0.652816949062981,1.29E-05,39.7763238715133
58665.6222287583,58665.6264359247,0.652816792600788,-1.38E-06,36.9396932129718
58665.6222287636,58665.6264362562,0.652816949062981,8.41E-06,17.521382777985
58665.6222288411,58665.6264362553,0.652816948597319,-6.90E-05,41.0861989957849
58707.7029455035,58707.7042936354,0.520144296926446,3.16E-06,3.72747036862799
58707.7029455404,58707.7042936355,0.520144296926446,1.13E-05,22.4151352588616
58707.7029455559,58707.704293304,0.520144140464254,1.44E-06,2.30318157943801
58707.7029455815,58707.7042936354,0.520144296926446,2.85E-06,4.97058968109699
58707.7029456334,58707.7042936353,0.520144296810031,-2.55E-08,3.86272610860897
58707.7029456931,58707.7042933039,0.520144140347838,-1.06E-05,5.63405046465503
58707.7029456987,58707.7042936351,0.520144296693616,-2.13E-05,14.5784860203205
58707.7029457822,58707.7042936353,0.520144296810031,-2.72E-06,4.70971951649442
58844.4803727359,58844.477624923,0.09854049840942,2.12E-05,21.6871912506057
58844.4803727728,58844.4776249229,0.098540498293005,9.43E-06,4.99420771929307
58844.4803728138,58844.4776249227,0.09854049817659,-2.64E-06,3.22833163177055
58844.4803728655,58844.4776249228,0.098540498293005,5.15E-06,6.5519677037885
58844.4803729255,58844.4776245912,0.098540341714397,-9.14E-06,6.68402055148743
58844.4803729326,58844.4776249228,0.098540498293005,3.12E-07,12.1445151643455
58844.4803730117,58844.4776249228,0.098540498293005,-1.88E-07,6.14936982808448
58948.1359178245,58948.1403792356,0.043567692744546,2.27E-05,14.8941408726682
58948.1359178616,58948.1403792354,0.04356769262813,4.33E-06,12.2626166126258
58948.1359178744,58948.1403789036,0.043567535933107,-1.88E-05,28.12488660318
58948.135917902,58948.1403792352,0.043567692511715,-1.42E-05,11.9362272641518
